scheme_name,category,sharpe_ratio,fund_score,risk_appetite
ICICI Pru Liquid Fund - Regular - Growth,Liquid,7.68,12.55,Low
Kotak Liquid Fund - Regular - Growth,Liquid,6.18,15.500000000000002,Low
ABSL Liquid Fund - Regular - Growth,Liquid,5.14,18.65,Low
HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,1.06,19.725,Moderate
Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,1.06,14.2,Moderate
ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,1.03,20.65,Moderate
Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,0.96,13.6,High
ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,0.95,17.900000000000002,High
DSP Midcap Fund - Regular - Growth,Mid Cap,0.9,22.325000000000003,High
